file-id,sounder-type,fmaxE,JF,h'F2
train-000,linear,4.401,11.111,523
train-001,linear,5.61,12.365,580
train-002,pulsed,nan,10.692,466.1
train-003,linear,14.148,15.221,815.4
train-004,linear,17.231,4.477,541.7
train-005,linear,4.25,5.489,582.8
train-006,pulsed,3.637,4.614,330.3
train-007,linear,12.682,8.224,800.2
train-008,pulsed,5.068,3.654,366.2
train-009,pulsed,6.884,6.631,357.8
train-010,pulsed,9.126,6.466,486.4
train-011,linear,19.86,13.891,793.2
train-012,linear,9.207,10.975,551.4
train-013,linear,4.613,5.806,539.7
train-014,pulsed,11.87,8.638,505.9
train-015,linear,4.431,7.726,784.4
train-016,linear,11.564,8.496,572.2
train-017,linear,13.347,8.481,565.5
train-018,linear,7.197,6.063,545.1
train-019,pulsed,5.195,6.769,478
train-020,pulsed,11.702,9.21,501.8
train-021,linear,10.4,6.502,570.4
train-022,linear,13.166,11.171,602.7
train-023,pulsed,5.632,5.607,415.3
train-024,linear,7.68,7.363,807.8
train-025,pulsed,nan,5.214,295.9
train-026,linear,3.902,5.278,558.4
train-027,linear,4.794,5.882,590.3
train-028,pulsed,4.708,4.522,350.9
train-029,linear,5.731,13.211,585.3
train-030,linear,4.356,15.931,786.2
train-031,linear,17.76,7.484,539.2
train-032,linear,5.686,11.715,538.8
train-033,linear,4.084,5.942,528
train-034,pulsed,10.456,6.558,446.3
train-035,linear,10.521,6.366,534.7
train-036,linear,17.79,10.96,836.5
train-037,pulsed,10.523,nan,455.4
train-038,linear,5.776,7.287,804.9
train-039,linear,3.162,5.655,595.9
train-040,linear,4.356,5.519,581.8
train-041,pulsed,3.696,3.898,334.1
train-042,pulsed,11.475,nan,506.5
train-043,pulsed,2.734,3.798,337.1
train-044,linear,4.144,6.592,789.7
train-045,pulsed,nan,5.366,319.6
train-046,pulsed,6.971,7.257,337.9
train-047,pulsed,9.067,8.857,492
train-048,pulsed,6.783,6.749,421.3
train-049,linear,17.941,5.534,543.8
train-050,pulsed,nan,5.102,503.4
train-051,pulsed,11.306,9.277,531.3
train-052,pulsed,11.862,5.776,501.3
train-053,pulsed,11.727,7.956,566
train-054,linear,5.308,4.9,581.1
train-055,linear,16.324,12.289,820.1
train-056,pulsed,8.907,6.02,516.7
train-057,linear,14.738,7.303,538
train-058,pulsed,11.87,nan,nan
train-059,pulsed,9.681,6.483,408.2
train-060,linear,4.915,7.287,568
train-061,linear,15.342,5.534,542.6
train-062,pulsed,5.725,4.984,416
train-063,linear,4.295,16.234,787.9
train-064,linear,4.023,15.161,786.2
train-065,pulsed,7.215,4.159,484.2
train-066,pulsed,8.949,5.565,501.8
train-067,linear,4.582,11.337,538
train-068,linear,4.537,10.491,782.7
train-069,pulsed,5.602,6.682,312
train-070,pulsed,9.202,6.558,480.5
train-071,linear,6.078,4.703,594.5
train-072,pulsed,2.568,6.685,325.7
train-073,pulsed,5.759,4.589,467.6
train-074,pulsed,5.262,4.917,389.5
train-075,linear,10.672,6.94,540.5
train-076,linear,15.297,6.713,798.4
train-077,linear,19.906,10.295,573.6
train-078,linear,13.695,7.937,801.4
train-079,pulsed,11.306,nan,nan
train-080,linear,15.055,4.099,532.6
train-081,pulsed,9.606,6.954,393
train-082,linear,15.236,12.607,813.7
train-083,pulsed,10.262,7.207,492
train-084,linear,15.266,8.708,798.4
train-085,pulsed,11.879,7.804,347.9
train-086,linear,9.705,5.958,539.7
train-087,pulsed,5.767,5.178,414.7
train-088,pulsed,11.365,8.175,455.4
train-089,linear,6.623,13.181,587.1
train-090,linear,6.849,5.534,804.3
train-091,linear,18.772,10.31,630.6
train-092,pulsed,11.23,9.976,403
train-093,linear,19.936,10.234,804.9
train-094,linear,8.587,5.61,807.2
train-095,linear,16.249,5.459,548.8
train-096,pulsed,9.218,7.594,439.2
train-097,linear,3.494,5.761,589.9
train-098,linear,10.476,7.106,593.1
train-099,pulsed,5.161,4.967,348.6
train-100,linear,19.543,5.202,538.4
train-101,linear,10.899,7.061,581.4
train-102,pulsed,9.252,nan,420.5
train-103,pulsed,nan,7.002,306.6
train-104,linear,4.174,12.622,782.7
train-105,pulsed,10.153,4.201,405.6
train-106,linear,19.86,7.771,581.8
train-107,pulsed,11.87,9.816,522
train-108,pulsed,11.432,4.732,474.3
train-109,pulsed,10.742,7.804,571.2
train-110,pulsed,nan,8.318,319.6
train-111,pulsed,6.8,4.944,311.2
train-112,pulsed,5.484,8.166,350.9
train-113,linear,19.755,11.035,795.5
train-114,linear,5.625,7.499,794.9
train-115,pulsed,11.845,8.175,566
train-116,linear,16.158,12.259,599.1
train-117,pulsed,8.848,9,420.5
train-118,pulsed,5.666,5.641,387.5
train-119,pulsed,10.675,8.166,396.6
train-120,linear,19.921,5.474,546.3
train-121,linear,12.713,8.587,802.5
train-122,pulsed,nan,11.887,470.2
