file-id,start time,start frequency,sweep rate,end frequency
train-000,0.643256,2000000,100,20000000
train-001,12.920209,2000000,100,20000000
train-003,17.536712,2000000,100,20000000
train-004,6.580919,2000000,100,20000000
train-005,4.322249,2000000,100,20000000
train-007,14.285942,2000000,100,20000000
train-011,4.515993,2000000,100,20000000
train-012,11.628915,2000000,100,20000000
train-013,8.228712,2000000,100,20000000
train-015,4.594249,2000000,100,20000000
train-016,10.716927,2000000,100,20000000
train-017,9.221919,2000000,100,20000000
train-018,4.401838,2000000,100,20000000
train-021,1.798444,2000000,100,20000000
train-022,17.004005,2000000,100,20000000
train-024,10.957792,2000000,100,20000000
train-026,0.785692,2000000,100,20000000
train-027,19.572879,2000000,100,20000000
train-029,6.251321,2000000,100,20000000
train-030,18.098788,2000000,100,20000000
train-031,12.216457,2000000,100,20000000
train-032,6.251321,2000000,100,20000000
train-033,4.594249,2000000,100,20000000
train-035,13.999824,2000000,100,20000000
train-036,11.910581,2000000,100,20000000
train-038,16.361366,2000000,100,20000000
train-039,1.803734,2000000,100,20000000
train-040,0.267152,2000000,100,20000000
train-044,8.228712,2000000,100,20000000
train-049,13.671392,2000000,100,20000000
train-054,6.580919,2000000,100,20000000
train-055,10.716927,2000000,100,20000000
train-057,17.925704,2000000,100,20000000
train-060,14.078667,2000000,100,20000000
train-061,2.13042,2000000,100,20000000
train-063,19.326149,2000000,100,20000000
train-064,17.313258,2000000,100,20000000
train-067,0.653978,2000000,100,20000000
train-068,18.12311,2000000,100,20000000
train-071,4.778604,2000000,100,20000000
train-075,10.566828,2000000,100,20000000
train-076,0.197718,2000000,100,20000000
train-077,4.515993,2000000,100,20000000
train-078,14.346768,2000000,100,20000000
train-080,5.10797,2000000,100,20000000
train-082,9.221919,2000000,100,20000000
train-084,1.798444,2000000,100,20000000
train-086,14.346768,2000000,100,20000000
train-089,15.357604,2000000,100,20000000
train-090,5.101085,2000000,100,20000000
train-091,3.31927,2000000,100,20000000
train-093,12.951021,2000000,100,20000000
train-094,5.10797,2000000,100,20000000
train-095,1.803734,2000000,100,20000000
train-097,16.361366,2000000,100,20000000
train-098,10.142994,2000000,100,20000000
train-100,0.267152,2000000,100,20000000
train-101,10.566828,2000000,100,20000000
train-104,15.989955,2000000,100,20000000
train-106,12.216457,2000000,100,20000000
train-113,18.411059,2000000,100,20000000
train-114,4.322249,2000000,100,20000000
train-116,7.759311,2000000,100,20000000
train-120,16.361366,2000000,100,20000000
train-121,4.401838,2000000,100,20000000
