file-id,start time,ipp,num pulses per freq,start frequency,freq step,end frequency,polarization,phase shifting
train-002,8.83449,0.01,64,2000000,70000,17286000,O/X,true
train-006,5.971045,0.01,64,2219000,50000,13150000,O/X,true
train-008,11.764859,0.01,64,2219000,50000,13150000,O/X,true
train-009,19.113351,0.01,64,2000000,70000,17286000,O/X,true
train-010,2.021951,0.01,64,2000000,70000,17286000,O/X,true
train-014,10.697955,0.01,64,2000000,70000,17286000,O/X,true
train-019,18.218387,0.01,64,2000000,70000,17286000,O/X,true
train-020,19.113351,0.01,64,2000000,70000,17286000,O/X,true
train-023,10.482647,0.01,64,2219000,50000,13150000,O/X,true
train-025,11.029976,0.01,64,2000000,70000,17286000,O/X,true
train-028,1.858419,0.01,64,2219000,50000,13150000,O/X,true
train-034,13.496911,0.01,64,2000000,70000,17286000,O/X,true
train-037,3.330222,0.01,64,2000000,70000,17286000,O/X,true
train-041,11.788245,0.01,64,2219000,50000,13150000,O/X,true
train-042,7.454443,0.01,64,2000000,70000,17286000,O/X,true
train-043,3.248695,0.01,64,2219000,50000,13150000,O/X,true
train-045,18.218387,0.01,64,2000000,70000,17286000,O/X,true
train-046,6.579309,0.01,64,2000000,70000,17286000,O/X,true
train-047,11.236057,0.01,64,2000000,70000,17286000,O/X,true
train-048,0.998875,0.01,64,2000000,70000,17286000,O/X,true
train-050,11.788245,0.01,64,2219000,50000,13150000,O/X,true
train-051,0.998875,0.01,64,2000000,70000,17286000,O/X,true
train-052,0.523611,0.01,64,2219000,50000,13150000,O/X,true
train-053,16.324323,0.01,64,2000000,70000,17286000,O/X,true
train-056,18.569981,0.01,64,2000000,70000,17286000,O/X,true
train-058,8.386929,0.01,64,2000000,70000,17286000,O/X,true
train-059,11.236057,0.01,64,2000000,70000,17286000,O/X,true
train-062,1.858419,0.01,64,2219000,50000,13150000,O/X,true
train-065,15.781604,0.01,64,2219000,50000,13150000,O/X,true
train-066,1.858419,0.01,64,2219000,50000,13150000,O/X,true
train-069,15.327389,0.01,64,2000000,70000,17286000,O/X,true
train-070,16.324323,0.01,64,2000000,70000,17286000,O/X,true
train-072,9.880857,0.01,64,2000000,70000,17286000,O/X,true
train-073,3.212702,0.01,64,2000000,70000,17286000,O/X,true
train-074,5.800564,0.01,64,2219000,50000,13150000,O/X,true
train-079,6.613715,0.01,64,2000000,70000,17286000,O/X,true
train-081,3.330222,0.01,64,2000000,70000,17286000,O/X,true
train-083,10.482647,0.01,64,2219000,50000,13150000,O/X,true
train-085,0.13879,0.01,64,2000000,70000,17286000,O/X,true
train-087,0.523611,0.01,64,2219000,50000,13150000,O/X,true
train-088,13.904253,0.01,64,2000000,70000,17286000,O/X,true
train-092,0.901468,0.01,64,2000000,70000,17286000,O/X,true
train-096,6.168428,0.01,64,2000000,70000,17286000,O/X,true
train-099,10.482647,0.01,64,2219000,50000,13150000,O/X,true
train-102,10.697955,0.01,64,2000000,70000,17286000,O/X,true
train-103,8.83449,0.01,64,2000000,70000,17286000,O/X,true
train-105,11.764859,0.01,64,2219000,50000,13150000,O/X,true
train-107,13.904253,0.01,64,2000000,70000,17286000,O/X,true
train-108,3.248695,0.01,64,2219000,50000,13150000,O/X,true
train-109,12.182403,0.01,64,2000000,70000,17286000,O/X,true
train-110,13.25527,0.01,64,2000000,70000,17286000,O/X,true
train-111,7.454443,0.01,64,2000000,70000,17286000,O/X,true
train-112,6.903945,0.01,64,2000000,70000,17286000,O/X,true
train-115,15.647875,0.01,64,2000000,70000,17286000,O/X,true
train-117,4.771743,0.01,64,2000000,70000,17286000,O/X,true
train-118,7.961669,0.01,64,2000000,70000,17286000,O/X,true
train-119,6.579309,0.01,64,2000000,70000,17286000,O/X,true
train-122,13.25527,0.01,64,2000000,70000,17286000,O/X,true
